NO,NO2,NOx,NH3,CO,SO2
0.41,13.88,7.62,11.99,0.86,6.89
0.25,16.71,9.02,10.89,0.95,12.91
1.68,25.6,15.01,20.24,0.69,11.81
1.94,25.03,14.88,33.72,0.78,25.39
1.45,16.01,9.45,22.52,0.67,17.62
15.9,17.35,22.25,24.68,0.49,9.53
3.49,12.79,9.73,22.79,0.58,8.21
4.55,16.33,12.39,23.18,0.64,10.34
4.5,16.82,12.69,19.54,0.58,11.02
7.39,17.33,15.32,18.13,0.6,11.81
6.13,17.75,14.52,16.57,0.85,10.87
8.21,19.14,16.94,20.46,0.7,10.82
19.35,21.18,27,18.5,0.81,15.02
5.34,19.02,14.54,22.46,0.79,22.7
7.1,22.21,17.68,19.27,0.79,13.89
5.37,18.83,14.38,14.52,0.72,8.98
4.45,17.33,13.01,12.72,0.65,9.71
4.45,22.81,15.74,12.41,0.66,12.63
11.58,24.74,22.65,12.52,0.78,8.98
19.66,26.29,30.06,14.03,0.81,9.68
5.71,19.03,14.85,14.15,0.75,8.03
11.93,28.85,25.14,14,1.03,10.21
8.08,22.65,18.7,16.53,0.91,12.68
5.75,19.92,15.26,14.09,0.64,6.82
2.74,13.08,9.19,13.51,0.78,8.35
6.01,19.07,15.02,12.65,0.68,7.75
10.73,20.82,19.8,11.64,0.72,9.43
7.17,15.22,13.94,14.1,0.56,8.63
4.9,10.42,9.51,10.74,0.58,11.33
4.9,8.18,8.43,11.53,0.58,6.37
4.98,19.05,14.27,13.47,0.7,12.47
6.41,20.43,16.16,13.75,0.8,10.57
4.63,14.37,11.5,13.34,0.7,8.89
6.62,18.83,15.39,13.96,0.57,7.04
5.63,14.86,12.65,13.01,0.92,15.45
4.69,14.44,11.58,15.35,0.59,16.81
4.35,14.79,11.5,15.02,0.6,15.55
3.56,8.53,7.52,14.58,0.73,9.61
2.94,6.99,6.19,13.53,0.67,3.69
3.43,9.86,8.11,10.94,0.68,7.26
5.11,11.29,10.25,11.24,0.58,13.19
4.25,10.36,9.05,11.8,0.83,14.42
3.63,7.68,7.14,11.54,0.69,13.63
3.49,8.43,7.41,9.3,0.57,18.83
3.06,6.86,6.23,10.49,0.64,12.97
2.69,5.28,5.09,7.53,0.55,8.3
4.32,14.33,11.23,8.17,0.56,9.95
4.38,11.27,9.64,10.88,0.67,8.08
4.93,9.65,9.24,12.44,0.72,8.7
2.06,6.63,5.2,8.44,0.69,5.86
5.08,9.62,9.25,9.17,0.87,10.34
5.01,10.84,9.84,10.27,0.74,7.4
4.17,13.54,10.69,9.77,0.65,10.35
4.18,8.86,8.18,10.54,0.81,6.71
4.8,11.71,10.14,9.83,0.5,6.88
4.7,4.6,6.48,9.06,0.54,6.2
3.86,5.22,5.99,8.62,0.59,6.62
4.26,6.48,7,8.66,0.61,6.01
2.39,3.54,3.83,8.32,0.47,5.97
3.7,5.73,6.14,7.23,0.5,7.01
3.72,5.86,6.14,6.04,0.53,6.69
4.51,6.55,7.31,8.37,0.73,10.53
2.67,3.26,3.9,6.59,0.44,6.91
3.41,6.22,6.25,10.45,0.56,15.16
3,4.9,5.14,6.3,0.66,7.64
2.7,3.86,4.26,5.01,0.36,5.44
4.6,7.1,7.6,7.8,0.62,11.15
3.36,12.71,9.5,6.68,0.76,7.38
4.32,7.23,7.54,9.86,0.6,13.05
3.76,5.11,5.87,6.78,0.48,6.21
3.94,4.84,5.87,5.66,0.66,7.51
3.51,5.55,5.81,4.43,1.01,5.38
3.84,5.51,6.23,6.12,0.45,5.93
3.12,6.96,6.33,5.76,0.8,7.09
4.29,22.75,15.68,8.96,0.85,7.28
3.59,14.17,10.55,12.76,0.49,6.37
4.65,26.74,18.01,12.69,0.56,6.01
3.36,10.7,8.42,10.16,0.54,17.55
3.41,6.9,6.44,7.77,0.43,9.19
5.12,9.93,9.48,9.06,0.54,8.34
4.47,10.28,9.11,4.63,0.51,5.82
4.04,8.19,7.82,9.19,0.57,9.63
2.87,5.94,5.57,7.82,0.4,7.31
3.66,10,8.38,9.3,1.03,12.02
2.87,14.93,10.28,9.67,0.26,9.43
4.24,10.94,9.25,9.46,1.31,7.48
4.69,9.26,8.84,8.99,1.18,6.82
3.12,9.05,7.35,13.54,0.59,7.27
4.36,11.91,10.02,11.75,0.25,7.92
4.28,13.88,10.97,11.52,0.48,7.3
