NO,NO2,NOx,NH3,CO,SO2
0.79,9.22,1.29,107.91,0.13,23.41
3.03,13.6,3.08,43.3,0.53,5.88
16.77,10.29,7.77,40.64,0.57,5.09
2.45,17.14,5.79,45.77,0.98,3.04
7.25,12.38,16.27,29.81,1.81,3.98
3.88,15.57,9.61,35.48,1.86,3.87
1.75,14.19,8.83,29.71,1.4,3.49
1.23,14.88,9.84,32.37,1.85,2.37
1.84,12.2,7.76,28.07,1.91,2.3
3.85,13.34,7.34,41.46,1.84,1.66
3.91,13.5,11.8,32.12,1.91,3.01
4.42,13.96,10.66,30.99,1.9,3.05
7.94,15.9,12.49,39.04,1.42,2.57
1.85,17.82,12.1,27.85,1.93,2.61
1.06,12.44,6.09,33.67,1.35,2.09
3.54,13.23,4.97,35.77,1.07,2.73
26.78,8.11,26.93,28.25,1.98,2.04
4.2,12.97,9.05,42.71,1.87,2.19
1.83,13.03,8.67,33.92,1.85,2.11
2.45,11.52,6.9,23.06,1.88,1.9
10.93,12.26,6.72,30.98,1.57,2.64
4.56,12.55,7.2,39.22,1.59,2.15
1.6,11.29,7.64,40.55,1.88,1.96
0.67,10.83,3.39,31.19,1.24,1.31
1.49,17.95,5.12,43.58,1.04,1.85
5.98,13.29,9.19,41.04,1.84,1.87
1.96,15.31,7.76,35.84,1.8,1.74
2.26,12.06,8.65,39.82,1.87,2.16
4.74,12.62,11.68,46.84,1.85,2.71
5.29,12.05,12.76,28.92,1.97,3.13
10.51,11.22,16.17,32.5,1.85,2.3
5.24,11.43,12.46,36.06,1.81,2.88
7.77,9.48,13.25,42.53,1.92,4.2
9.44,11.45,14.21,62.99,1.78,2.57
9.06,11.95,9.93,60.08,1.46,2.58
6.45,11.38,6.27,58.23,1.02,3.14
9.12,12.17,17.2,53.88,1.81,5.67
11.59,8.74,7.44,34.8,0.88,3.16
3.2,10.32,5.99,81,0.95,3.9
5.4,11.74,9.22,69.31,1.42,2.28
6.6,11.57,8.05,77.62,1.24,1.26
5.88,7.52,10.99,59.27,1.79,1.41
12.03,12.58,17.88,68.25,1.86,1.96
5.6,11.4,4.89,66.61,0.91,1.41
2.79,8.03,4.57,76.64,0.94,1.2
1.01,8.65,4.05,85.38,1.75,1.29
3.64,8.23,5.87,77.32,1.85,1.07
4.82,8.21,9.41,73.54,1.98,1.46
4.61,6.32,7.79,70.76,1.82,1.95
4.3,6.54,7.56,61.12,1.91,1.47
5.28,10.73,6.95,76.43,1.78,1.08
7.75,7.35,13.18,96.75,2,2.24
7.14,7.87,9.29,194.46,1.85,1.26
16.67,5.79,9.56,78.87,0.8,3.02
2.23,11.17,6.65,71.51,1.82,3.71
5.48,8.93,11.27,58.58,2.04,2.02
6.37,12.75,10.81,62.68,2.03,2.17
12.22,13.44,5,68.78,0.88,1.94
14.66,8.4,18.29,63.01,1.95,2.84
4.07,6.99,8.11,34.44,1.86,2.89
14.33,9,18.1,35.27,2.05,3.63
5.34,7.5,8.36,44.61,1.54,5.26
8.62,8.02,14.5,41.14,2,6.15
14.01,9.02,19.48,57.49,1.97,6.14
6.59,9.35,10.81,54.09,1.49,6.88
10.11,11.89,17.63,35.91,1.73,7.8
3.4,11.04,10.09,37.82,1.96,8.44
3.96,9.97,7.56,45.64,1.83,9.04
13.89,8.68,5,27.3,1.7,6.44
1.65,7.26,4.76,33.07,1.92,6.42
3.82,9.04,5.16,39.33,1.92,7.06
4,11,7.14,36.14,1.95,7.06
15.24,10.09,14.49,36.61,2.02,7.69
4.8,12.19,7.85,30.97,2,7.15
3.07,10.28,7.15,33.42,1.96,6.91
8.98,10.32,1.73,36.08,0.27,5.64
3.79,11.29,6.08,27,1.11,8.32
1.9,10.64,2.56,37.06,1.42,6.38
3.49,8.07,4.12,14.25,1.05,11.05
3.32,6.65,6.06,13.26,1.93,10.54
4.38,6.16,6.08,40.63,1.92,9.56
4.92,8.23,7.3,19.31,1.97,9.58
1.16,14.09,1.14,10.75,0.62,9.23
4.88,10.22,6.3,21.06,1.04,24.97
3.6,11.43,8.46,19.29,1.95,11.01
7.81,14.16,10.14,21.31,1.87,9.07
4.54,10.69,7.05,28.09,1.69,15.72
3.97,11.98,7.54,28.65,1.91,9.14
6.23,11.07,9.89,44.38,1.92,8.95
10.64,4.44,10.8,24.75,1.51,8.64
10.41,11.01,11.45,19.32,1.72,8.46
6.86,8.67,12.03,28.76,2,8.09
11.95,7.12,15.97,43.87,1.98,9.08
7.09,5.24,10.44,23.64,1.95,9.55
7.67,10.74,9.9,17.66,1.99,9.46
8.39,11.38,12.63,14.62,2.04,10.41
6.86,8.73,7.96,34.4,1.84,8.76
4.05,9.36,4.6,56.25,1.5,8.21
6.75,4.85,5.71,24.06,1.24,8.77
5.66,6.28,7.84,35.82,1.91,8.67
7.74,5.87,9.85,17.85,2.01,9.07
3.87,8.3,6.66,24.25,2.02,9.04
12.88,13.28,13.6,42.83,1.9,9.56
4.19,8.81,7.52,17.04,2.14,9.2
6.9,8.45,10.88,13.64,2.17,9.12
3.88,15.17,7.4,39.16,2.07,9.24
2.14,10.3,7.09,55.34,2.03,9.1
4.96,7.69,10.95,14.18,2.23,9.67
8.59,8.36,12.4,44.98,2.17,8.54
8.17,7.86,9.76,48.7,2.06,8.36
7.41,9.91,9.33,25.96,2.09,8.5
2.74,8.59,6.44,32.57,1.68,8.64
21.03,11.6,19.13,41.56,1.6,8.69
3,11.04,4.46,35.05,1.1,9.77
5.87,10.42,9.17,34.73,2.02,9.01
9.19,6.99,10.86,16.16,2.07,8.85
7.7,6.33,8.98,38.89,1.62,8.96
8.05,14.13,7.53,25.72,1.06,9.14
7.74,6.34,11.96,12.14,2.12,9.07
8.98,8.46,12.45,64.1,2.16,9.24
9.41,9.1,11.34,28.3,1.81,8.39
7.53,12.77,12.7,24.03,2.11,8.87
11.56,6.08,11.98,18.82,1.72,8.76
4.48,9.73,9.76,36.91,2.16,8.88
9.36,8.53,15.98,78.49,2.23,8.76
8,11.54,13.11,44.52,2.17,8.79
2.87,8.4,6.55,58.88,2.03,7.41
2.01,7.08,4.99,75.86,2.04,7.02
7.28,11.56,13.25,76.68,2.15,7.22
13.41,5.35,13.24,86.49,1.88,8.68
11.49,12.82,13.86,66.31,1.61,9.41
13.08,10.87,19.33,92.17,2.31,9.14
17.72,13.3,24.41,53.26,2.38,9.44
13.46,6.59,14.74,16.78,2.13,9.85
17.46,11.95,7.25,19.89,0.8,9.84
13.26,8.22,9.23,73.66,1.4,10.75
11.19,8.78,13.81,72.47,1.41,10.37
16.43,14.19,22.13,63.28,0.52,10.27
16.43,12.46,21.19,66.83,0.6,12.66
12.82,11.79,21.22,95.05,0.63,13.9
12.63,3.84,7.34,49.2,0.31,14.83
17.88,18.7,19.25,58.82,0.47,16.54
17.5,11.75,22.71,95.68,0.62,16.66
21.67,13.4,26.17,78.69,0.64,16.25
20.18,16.54,28.46,70.67,0.7,16.39
22.04,20.33,30.93,44.48,0.74,16.09
19.48,15.26,27.08,83.14,0.78,14.74
26.7,13.89,18.16,53.02,0.39,14.44
19.21,18.41,16.67,48.33,0.49,13.49
16.82,13.95,23.82,46.11,0.87,13.49
11.81,11.63,19.06,31.81,0.88,13.21
12.57,10.03,18.76,29.51,0.89,12.73
13.3,12.97,19.85,25.03,0.92,12.72
15.97,9.92,22.56,51.87,0.96,12.71
14.01,6.85,17.41,60.72,0.97,11.92
14.81,13.04,19.47,51.85,0.97,12.01
19.14,9.81,20.74,88,0.81,11.97
18.24,11.19,23.64,76.09,1.02,11.32
17.82,12.03,23.66,51.44,1.09,12.18
30.45,12.24,15.47,23.22,0.51,12.3
16.09,14.98,15.21,102.21,0.65,9.94
17.95,13.2,26.21,88.16,1.17,11.07
17.08,14.92,25.29,74.24,1.13,11.69
17.42,15.09,29.92,36.29,0.85,12.63
17.11,22.34,29.82,57.61,0.77,12.14
18.03,19.15,32.09,52.69,0.81,12.04
28.56,9.13,15.28,34.63,0.41,10.7
19.83,25.04,17.9,82.98,0.44,11.26
29.29,21.61,40.7,61.29,0.91,11.96
31.06,17.7,44.04,76.34,1.08,12.33
29.03,13.86,40.61,51.93,1.01,12.61
26.63,15.87,39.15,79.46,0.63,12.09
25.94,15.01,24.78,44.01,0.4,11.53
17.62,16.74,18.95,60.35,0.57,12.05
17.83,22.37,27.57,55.66,0.6,11.58
16.8,17.32,26.71,55.18,0.57,12.21
28.36,23.22,23.27,81.84,0.46,8.27
25.56,17.85,36.32,82.58,0.94,5.98
27.17,23.61,35.4,57.47,0.82,5.22
22.82,20.22,33.66,63.05,0.87,5.58
26.75,20.31,42.7,57.85,1.07,7.26
31.17,14.67,41.4,91.85,1.26,7.56
29.18,13.52,37.05,68.74,1.19,6.31
18.88,11.35,26.24,62.38,0.82,4.65
20.77,23.88,31.31,66.72,0.64,3.94
29.81,26.01,43.18,58.43,0.82,3.73
24.67,21.09,38.42,37.18,0.97,4.36
22.53,24.51,35.47,60.47,1.1,3.13
17.53,18.45,27.64,54.21,1.19,2.86
12.98,13.58,21.25,42.02,1.26,3.09
16.6,15.66,23.74,43.59,1.33,3.35
25.16,12.74,31.73,68.52,1.33,3.84
32.76,9.65,41.22,67.9,1.45,3.08
26.25,15.99,34.79,70.72,1.45,3.32
29.12,21.59,43.48,59.3,1.48,4.94
24.77,16.87,35.38,54.19,1.54,4.34
22.1,10.8,29.92,40.28,1.52,4.14
26.82,15.1,26.53,42.93,1.14,4.19
21.2,17.58,31.41,40.89,1.69,3.88
24.97,19.02,36.85,42.34,1.71,4.11
31.97,19.98,45.99,63.24,1.74,5.59
31.39,23.2,43.61,77.03,1.29,5.63
30.02,26.74,45.4,106.47,0.82,8.53
27.88,20.64,38.24,85.38,0.84,6.95
25.28,25.34,43.24,73.69,0.86,6.45
26.56,15.4,36.36,62.42,0.85,6.23
28.02,17,39.18,82.41,0.89,5.37
15.35,22.11,27.38,89.04,0.87,4.62
28.64,31.01,37.68,82.8,0.87,5.69
25.44,19.5,38.53,91.79,0.87,6.26
27.22,14.01,37.63,83.71,0.9,5.11
27.57,17.51,22.37,83.67,0.54,4.56
22.81,22.61,17.64,43.44,0.39,4.98
25.59,21.22,38.89,47.77,0.88,5.54
25.39,13.72,36.33,42.98,0.89,4.77
21.35,12.47,28.37,47.55,0.87,5.34
12.49,21.69,23.91,43.41,0.89,4.05
16.08,16.45,26.96,46.7,0.85,4.43
10.55,20.67,21.78,62.71,0.89,3.77
17.02,27.47,36.02,91.11,0.86,6.09
14.25,24.04,30.81,54.56,0.88,8.79
12.51,17.13,21.63,65.64,0.84,8.81
20.12,12.53,30.85,70.44,0.5,6.7
13.49,15.17,23.33,58.31,0.01,4.45
8.78,17.31,17.07,50.78,0.01,4.78
13.07,16.09,22.88,34.57,0.01,4.67
16.9,19.61,30.05,53.95,0.02,5.27
19.24,19.31,35.49,84.27,0.04,5.21
21.53,28.99,34.85,78.86,0.04,6.12
21.65,27.35,40.68,52.49,0.05,6.66
25.73,19.21,39.88,68.98,0.03,5.62
18.85,26.35,32.78,72.85,0.01,4.27
13.39,22.37,24.22,56.52,0.01,3.73
14.81,23.73,27.39,72.84,0.02,4.49
22.58,22.93,37.21,117.44,0.02,5.32
18.97,28.87,42.25,80.09,0.04,11.05
20.05,23.77,38.65,95.52,0.04,9.58
18.54,20.87,33.35,50.76,0.05,5.77
15.6,23.05,32.29,95.81,0.05,7.63
13.64,21.41,27.06,71.07,0.05,6.54
9.16,16.9,18.96,78.53,0.05,3.5
8.7,14.46,15.45,85.95,0.05,4.48
12.95,15.66,18.65,91.61,0.04,3.39
10.38,19.35,18.99,75.76,0.03,2.69
14.21,18.13,13.25,77.43,0.01,3.47
6.7,20.74,7.82,78.26,0.03,8.69
7.99,18,18.45,99.3,0.05,5.82
9.74,17.88,20.37,98.3,0.04,4.57
18.95,17.94,24.29,69.7,0.03,3.6
10.19,12.39,14.11,85.27,0.01,3.1
17.5,8.87,8.99,113.55,0.01,2.56
10.16,14.48,8.85,111.94,0.07,5.07
14.65,18.54,21.54,85.45,0.26,3.82
11.74,14.63,15.66,67.31,0.24,2.73
17.04,11.37,17.5,102.49,0.23,2.44
15.97,6.38,22.36,12.86,0.29,4.12
23.51,3.13,26.47,14.11,0.3,3.84
25.4,4.77,29.44,16.6,0.3,4.08
14.29,5.65,19.95,11.34,0.3,5.21
20.75,4.66,23.33,12.56,0.3,4.25
18.32,2.92,20.43,12.7,0.3,3.99
40.59,3.5,43.41,13.55,0.3,5.02
8.15,4.28,12.15,0.78,0.55,10.12
9.72,4.71,14.19,0.88,0.79,9.36
16.53,9.83,25.86,1.68,0.93,4.27
11.03,4.9,16.06,1.11,0.58,14.1
7.3,2.69,9.88,1.38,0.9,9.26
10.35,3.73,14.09,1.7,0.78,10.48
8.64,3.06,4.68,1.53,0.49,8.71
6.5,2.63,8.91,1.06,0.67,9.52
7.68,2.76,10.41,1.37,0.75,8.71
7.93,3.08,11.04,1.34,0.75,8.51
7.32,3.89,11.28,1.53,0.7,6.02
8.23,5.34,10.71,1.09,0.49,7.76
8.81,4.62,10.75,1.06,0.6,7.55
7.44,2.62,9.98,1.25,0.55,10.1
6.47,2.47,8.38,1.08,0.54,9.84
6.87,2.77,9.65,1.17,0.64,10.68
5.99,4.62,10.49,1.25,0.66,11.07
7.61,3.3,10.9,1.37,0.65,14.74
10.52,3.96,12.79,3.76,0.55,9.97
8.6,7.2,10.64,5.9,0.53,9.63
10.22,5.64,11.21,5.98,0.55,8.67
9.53,4.55,10.1,5.94,0.51,8.83
9.8,4.23,10.04,5.87,0.66,8.71
10.94,6.56,11.8,5.97,0.73,8.19
13.33,6.05,10.8,6.34,0.79,12.05
18.72,5.25,17.25,6.51,0.83,12.05
18.75,5.06,17.87,6.57,0.56,13.4
12.76,3.31,7.67,6.1,0.5,14.95
23.3,5.59,19.89,6.79,0.81,18.05
27.37,5.3,24.85,7.27,0.85,16.05
13.35,5.38,13.63,6.2,0.54,15.9
10.47,7.86,12.9,6.24,0.71,16.42
7.99,8.1,10.54,5.76,0.46,18.14
9.62,4.75,10.27,5.9,0.44,15.09
10.07,4.05,10.31,6.01,0.49,14.44
8.63,5,9.58,5.96,0.51,11.35
10.14,4.64,10.57,5.99,0.61,12.42
17.13,5.73,16.77,6.57,0.85,13.54
13.25,6.53,13.7,6.21,0.74,12.52
13.64,6.51,14.27,6.27,0.74,10.38
13.94,5.64,14.67,6.25,0.72,12.45
15.52,4.3,14.77,6.21,0.71,11.66
13.92,6.28,14.43,6.31,0.83,13.5
16.48,6.34,16.6,6.47,0.95,12.4
17.66,6.6,17.59,6.62,1,10.71
16.88,7.57,17.78,6.95,0.88,10.2
12.07,5.93,12.92,6.42,0.61,10.23
14.08,5.48,14.22,6.49,0.62,11.54
10.73,5.4,11.43,6.04,0.59,11.04
11.51,5.22,11.97,6.14,0.54,10.41
10.27,4.3,10.48,6.15,0.54,9.55
18.05,5.96,17.37,6.75,0.73,10.67
21.97,7.38,21.56,7.01,0.91,9.69
17.22,7.59,17.86,6.61,0.99,10.21
12.26,6.84,13.52,6.22,0.82,10.29
7.8,16.3,11.84,7.79,0.73,9.92
33.17,13.6,33.08,27.94,0.82,9.24
36.29,19.43,43.39,40.84,1.29,9.28
17.27,11.43,20.99,22.6,1.01,8.21
9.28,10.06,13.98,12.73,0.99,8.87
7.24,13.46,14.1,12.82,0.89,8.29
14.3,11.76,18.63,19.21,1.02,9.04
4.69,8.11,5.18,5.93,0.98,11.2
4.58,6.33,7.82,4.2,0.69,9.56
7.09,6.08,9.39,6.12,0.54,9.81
15.47,7.78,13.85,17.58,1.02,11.69
15.71,9.68,14.7,17.99,0.79,8.19
38.26,8.67,35.9,7.29,0.74,9.2
4.57,17.22,13.93,1,0.85,10.64
3.11,10.68,13.76,0.7,0.5,8.08
3.11,9.85,12.88,0.65,0.42,9.32
5.34,25.44,28.08,6.43,0.67,9.22
1.32,17.06,18.48,9.59,0.53,9.45
2.6,18.03,20.07,5,0.45,10.79
17.99,51.27,68.73,5,0.87,11.2
16.84,48.98,66.05,5,0.84,9.71
18.8,52.22,70.53,5,0.85,10.94
28.32,29.43,51.8,5,0.85,10.01
40.39,8.06,36.97,5,0.88,10.77
27.53,10.22,27.17,5,0.77,10.78
8.75,12.28,13.41,5,0.73,10.18
11.61,11.11,14.88,5,0.61,8.67
25.39,15.46,27.98,5,0.77,6.36
59.58,13.5,52.75,24.2,1.3,9.59
70.94,5.08,59.09,35.57,1.25,9.06
44.31,10.6,41.3,44.06,0.96,10.33
43.97,12.89,42.09,49.26,1,10.46
33.52,14.4,33.18,40.21,0.87,10.54
29.9,21.94,34.45,36.14,0.92,11.4
27.56,20.88,32.57,35.75,0.86,11.91
33.79,21.97,38.56,45.27,1.06,10.15
34.59,23.28,40.18,47.58,1.01,8.2
6.07,14.69,12.52,46.26,0.4,7.97
8.42,14.96,14.58,57.1,0.48,10.16
7.44,11.3,11.79,43.62,0.51,9.65
7.23,10.15,11.16,31.34,0.53,6.58
4.68,12.21,9.97,37.32,0.53,6.01
6.34,11.18,10.87,33.79,0.62,5.7
7.9,14.2,13.76,33.11,0.66,7.77
8.48,14.95,14.25,42.05,0.8,8.64
5.88,11.44,10.79,40.98,0.8,5.95
2.7,11.25,8.04,36.8,0.62,6.88
6.97,12.09,11.87,40.76,0.66,6.83
10.35,13.21,15.23,36.41,0.72,6.88
3.48,9.79,7.92,26.09,0.49,5.65
2.22,10.41,7.23,22.17,0.49,6.14
3.7,14.23,10,25.4,0.58,4.76
12.15,11.78,14.9,25.82,0.69,6.58
11.84,12.41,16.18,24.38,0.77,5.62
38.14,16.28,36.66,26.86,1.04,6.59
49.23,14.74,48.79,24.95,1.24,7.27
46.81,15.96,45.21,24.73,1.11,7.79
40.57,13.18,39.43,29.29,0.97,8.9
36.01,11.14,34.87,46.37,0.93,11.32
23.92,13.16,26.12,45.85,0.84,9.13
6.6,13.63,12.1,35.98,0.64,8.39
10.22,12.04,14.32,38.35,0.57,9.79
29.12,11.69,29.7,39.27,0.79,8.73
18.41,9.94,19.91,38.98,0.61,7.9
3.41,11.19,8.54,35.22,0.44,5.58
7.97,11.61,12.46,33.56,0.5,6
19.2,15.57,23.47,24.35,0.76,6.55
17.43,17.6,23.12,24.83,0.92,9.83
18.37,15.63,23.05,29.22,0.88,7.38
13.13,9.24,15.17,33.17,0.69,6.7
12.44,12.03,16.45,31.7,0.68,7.03
7.15,11.91,11.96,29.08,0.67,6.47
16.22,10.91,18.44,41.64,0.75,7.18
18.14,11.8,20.29,47.37,0.69,8.39
20.11,11.33,22.08,35.94,0.78,7.99
27.83,13.64,29.01,42.26,0.96,6.46
38.7,16.84,39.52,43.79,1.03,9.06
18.17,12.43,21.1,48.99,0.73,7.32
1.59,10.72,6.48,50.54,0.43,5.37
1.26,13.16,7.67,48.75,0.54,5.84
35.84,13.38,35.43,35.96,1.03,7.56
29.72,14.09,31.22,32.77,0.9,8.11
26.66,18.67,31.12,36.16,0.98,8.26
15.87,17.71,21.46,70.87,0.64,7.53
6.6,16.39,13.86,65.83,0.51,7.44
4.78,11.56,9.73,52.34,0.46,5.88
4.48,12.56,7.49,68.76,0.6,6.3
3.21,15.01,5.53,79.53,0.82,7.97
4.52,12.5,10,52.13,0.57,6.96
17.36,14.34,20.79,48.4,0.76,7.01
32.31,16.22,34.89,45.63,0.87,8.97
1.37,11.9,7.21,41.06,0.5,7.05
15.06,13.75,18.79,51.85,0.71,7.71
29.84,17.65,28.07,52.94,0.82,9.1
9.91,15.27,15.03,37.51,0.67,7.94
23.06,19.65,28.42,24.01,0.82,10.03
25.78,18.27,30.22,26.54,0.89,8.69
18.39,17.75,24.25,34.43,0.85,8.71
3.68,15.96,11.31,32.97,0.65,8.35
1.7,14.52,8.96,33.61,0.59,9.29
1.54,13.63,8.36,36.75,0.49,8.37
1.43,14.94,8.94,36.5,0.56,9.09
10.51,18.43,17.9,30.26,0.68,9.39
6.64,17.18,14.42,29.55,0.61,8.07
4.45,17.63,12.56,50.52,0.66,9.85
29.86,23.78,36.57,47.46,1,8.79
3.48,22.32,14.23,51.36,0.66,10.52
5.72,19.61,14.1,51.13,0.58,11.11
9.04,16.27,15.75,56.93,0.61,9.63
11.93,16.68,18.18,54.07,0.67,10
8.68,14.65,14.71,57.43,0.54,10.26
8.84,17.82,16.43,53.71,0.65,11.05
23.97,21.72,30.21,42.06,0.91,11.17
20.93,22.96,28.95,44.13,1.03,11.55
9.79,19.63,18.3,60.86,0.79,9.13
12.13,19.64,19.59,59.45,0.63,8.1
26.74,19.34,31.78,51.59,0.7,9.37
21.81,19.91,27.96,51.7,0.72,11.08
9.78,16.91,16.8,66.95,0.6,9.75
14.24,21.84,22.8,68.95,0.77,10.94
6.33,21.44,16.33,58.7,0.52,8.94
4.61,17.43,12.82,58.92,0.4,7.91
18.12,12.2,20.48,59.19,0.57,6.45
26.85,14.69,29.63,55.11,0.66,8.51
1.64,13.26,8.13,54.32,0.38,7.63
7.71,18.13,15.51,64.07,0.6,9.69
11.05,20.98,19.56,63.51,0.63,8.38
7.16,19.73,15.69,69.07,0.54,8.23
6.34,18.04,14.58,69.88,0.46,8.05
4.21,12.29,9.75,69.21,0.38,10.93
4.62,9.66,8.78,82.11,0.46,9.47
3.76,9.14,7.39,87.95,0.47,10.27
2.35,8.04,6.29,100.35,0.5,9.45
1.72,8.72,5.92,79.79,0.56,9.75
4.97,11.22,9.8,75.59,0.66,10.23
9.26,12.79,14.12,75.77,0.76,14.03
7.22,12.43,12.3,72.55,0.71,13.58
4.03,9.7,8.37,60.29,0.53,11.7
2.41,10.02,7.16,53.38,0.54,11.08
2.07,9.91,6.82,50.69,0.5,11.95
3.62,8.88,6.15,42.77,0.52,11.13
1.85,8.79,6.07,41.23,0.5,10.54
2.98,9.17,6.85,40.12,0.5,9.61
1.67,9.4,6.25,34.53,0.38,9.64
1.33,9.31,5.96,41.67,0.3,10.6
1.55,10.05,6.48,48.87,0.38,9.61
1.46,10.85,6.85,43.04,0.49,9.39
2.32,10.86,7.53,39.2,0.4,10.8
1.47,9.8,6.3,34.46,0.39,8.68
1.53,11.26,7.14,32.8,0.39,7.84
1.47,11.97,7.43,32.37,0.46,10.1
2.15,13.07,8.54,33.74,0.54,10.4
1.66,10.91,6.06,46,0.41,12.81
0.98,9.63,5.81,49.62,0.38,7.77
1.66,11.89,7.54,40.9,0.42,9.68
2.22,12.34,8.22,39.61,0.5,9.6
1.98,11.89,7.79,36.11,0.47,9.6
2.58,11.66,8.18,34.48,0.53,10.29
1.34,10.16,6.38,33.38,0.51,12.02
1.68,10.72,6.95,31.33,0.54,9.92
1.93,11.69,7.66,29.25,0.57,10.29
1.34,11.23,6.94,23.31,0.49,10.92
2.49,11.04,7.75,24.21,0.59,13.23
1.78,11.17,7.43,29.6,0.51,11.25
1.41,10.35,6.56,28.06,0.37,8.81
2.12,10.47,7.17,28.76,0.41,8.56
3.53,11.89,9.05,31.13,0.57,9.65
3.78,13.35,9.8,46.36,0.47,13.26
3.23,12.47,9.09,43.25,0.58,9.62
3.05,12.3,8.83,34.79,0.59,10.74
2.89,13.2,9.2,31.08,0.6,11.72
2.01,11.93,7.88,28.7,0.57,13.36
2.4,12.06,8.22,27.13,0.53,11.13
2.82,12.76,8.9,27.6,0.53,11.83
3.56,13.24,9.54,37.29,0.45,10.82
2.7,12.76,8.84,49.89,0.59,13.77
1.7,10.33,6.78,34.73,0.56,13.18
3.79,16.82,11.44,27.54,0.7,14.48
16.3,15.39,22.68,4.59,1.17,9.2
16.49,13.42,23.09,7.83,1.23,8.61
9.72,19.56,9.99,4.63,0.77,48.23
9.6,16.2,11.71,5.23,1,27.96
9.16,16.3,12.94,5.5,0.9,16.6
30.58,35.6,13.42,5.46,0.91,21.98
43.92,46.38,13.32,4.9,1.22,28.13
26.74,37.79,10.98,3.71,1.15,21.26
39.24,42.65,10.52,5.81,1.31,22.82
10.2,19.17,11.15,3.96,0.98,17.36
55.04,49.87,14.65,3.77,0.8,21.75
23.78,30.31,15.71,4.16,1.07,28.51
48.95,64.35,12.73,6.06,0.97,16.44
29.88,38.23,15.74,8.79,1.22,20.32
18.58,23.87,12.97,4.53,1.01,21.92
12.29,18.39,12.51,4.03,1.17,13.18
9.57,17.4,12.93,3.77,1.7,10.44
24.48,30.7,9.26,3.63,1.12,11.33
42.76,41.8,9.43,3.82,2.35,9.72
21.82,27.9,11.76,20.14,1.99,8.52
43.8,59.26,8.54,3.85,1.79,9.28
45.63,46.77,8.85,4.6,1.43,7.64
34.64,37.55,10.49,4.01,3.43,10.57
12.39,9.89,14.62,4.36,0.84,7.39
34.39,10.14,14.56,3.98,0.85,7.16
30.07,10.44,14.43,3.53,2.07,7.38
8.83,12.63,13.41,4.28,1.16,7.14
10.41,16.83,14.9,3.69,2.81,8.06
44.65,41.79,13.2,3.95,0.84,8.46
21.66,23.84,15.56,5.54,0.82,9.46
44.76,46.59,14.26,4.37,0.94,7.88
21.43,26.05,12.53,4.2,0.71,7.76
10.61,15.82,20.87,3.63,1.59,10.58
9.09,14.89,17.92,5.12,0.98,6.83
9.22,14,16.97,27.6,0.85,4.89
15.68,19.17,16.44,76.99,0.95,7.48
11.9,16.7,17.47,81.78,0.76,7.36
8.78,13.46,16.99,25.85,0.89,6.42
8.35,12.98,17.84,46.65,1.16,6.21
8.43,13.43,19.17,37.42,1.1,6.27
8.99,13.2,16.15,58.69,1,6.64
11.62,14.8,17.39,50.48,1,6.87
10.77,14.27,16.47,47.94,0.97,6.79
11.4,14.16,14.83,56.36,1.19,7.21
9.83,12.97,15.28,56.06,1.43,7.84
9.97,13.02,16.57,68.44,0.99,7.58
9.55,12.63,15.2,82.48,0.98,7.38
11.76,14.43,11.95,116.59,5.18,8.35
12.57,15.78,10.13,113.29,9.81,9.15
12.62,15.2,10.55,85.61,9.99,9.42
12.1,13.43,13.11,98.16,4.52,11.51
9.33,11.56,14.85,103.03,0.85,7.04
8.72,11.4,12.7,110.13,0.9,6.31
13.54,15.81,13.57,105.68,0.9,6.13
14.05,14.44,14.09,114.96,0.9,7.34
10.83,11.57,16.94,62.31,1.41,8.67
10.16,11.24,12.99,58.05,0.97,7.77
8.73,11.7,11.08,29.87,1.15,6.09
8.16,11.38,11.91,14.42,1.15,5.8
8.66,10.95,12.26,14.83,10.6,5.29
10.02,12.29,11.48,63.64,5.33,8.15
9.25,11.37,11.41,58.57,2.82,6.77
10.67,14.04,8.45,40.55,9.85,7.59
11.44,16.34,8.46,74,11.02,10.07
11.05,18.61,11.19,10.8,10.12,8.04
10.26,18.9,10.12,10.89,9.77,5.5
10.03,18.29,12.99,11.03,9.93,5.29
10.07,22.44,16.57,11.42,5.45,4.61
10.4,21.64,19.98,11.56,1.13,5.03
11.46,16.02,14.87,10.86,1.11,5.22
11.18,16.2,13.81,13.77,2.8,8.43
9.82,16.41,14.35,10.89,1.12,7.79
30.73,35.78,13.25,11.15,1.07,5.58
17.08,24.87,14.08,11.16,1.09,5.63
35.48,48.6,17.67,10.54,1.07,10.75
46.92,54.96,14.34,9.96,1.25,10.87
14.24,22.4,16.37,9.99,1.02,12.45
14.93,22.22,13.62,10.04,1.05,10.7
24.83,36.81,15.25,11.76,0.81,13.96
14.05,22.96,12.06,9.56,2.24,8.66
26.85,30.32,14.48,11.76,1.38,8.86
31.23,112.29,12.77,9.68,0.93,14.04
26.97,98.75,14.71,13.31,1.32,10.16
16.83,31.79,25.73,10.91,1.41,11.94
39.96,50.12,20.48,11.51,1.27,25.45
22.83,38.75,20.64,10.97,2.21,11.76
31.78,48.15,19.74,10.35,1.34,5.59
12.8,25.53,16.36,10.41,1.24,8.05
37.45,46.48,16.09,11.41,1.23,6.53
42.23,36.98,14.4,10.04,1.33,4.65
